Full Export Completed,Partial Result Timestamp,Filters,Media Type,Users,Remote,Date,End Date,Duration,Direction,ANI,DNIS,Queue,Wrap-up,Flow,Conversation ID
YES,,Queue: C_FAKE_EMAIL,email,Paulo Freitas,Fogaça,04/08/25 06:57 AM,08/25/25 02:57 AM,847365,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,91855abd-4e90-4e4a-9fd2-8b9e0328a80d
YES,,Queue: C_FAKE_WHATSAPP,email,Giovanna Ferreira; Leonardo Rezende,Pires S/A,07/01/25 03:31 AM,01/15/25 08:54 AM,1235708,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,a34321bf-7aee-47df-9bd5-5037f7444596
YES,,Queue: C_FAKE_CHAT,email,Clara Oliveira; Nathan Cardoso,Paulo Vieira,05/02/25 10:56 PM,01/25/25 08:55 PM,1107705,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,c4170ebd-420c-4e74-ae07-a11f70c0a4f6
YES,,Queue: C_FAKE_WHATSAPP,email,Francisco Sales,Enzo da Luz,02/27/25 01:13 AM,08/28/25 11:42 PM,1790263,Inbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,1d4c5eb7-3b90-4c08-8cb1-40eda7ee2f23
YES,,Queue: C_FAKE_WHATSAPP,call,Alícia da Mata; Lívia Pires,Barbosa,08/03/25 10:08 PM,03/30/25 12:40 PM,1330478,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,fdf1d205-b6ec-484e-b3a2-dc1d0f916e97
YES,,Queue: C_FAKE_EMAIL,message,Fernando Aragão,Isabella Viana,01/18/25 08:56 AM,08/22/25 05:48 AM,1942911,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,13d5ac4f-1bf2-435c-9987-e1e63c1517fc
YES,,Queue: C_FAKE_CHAT,message,Laura Correia,Duarte S.A.,05/07/25 12:34 PM,08/10/25 12:11 PM,491407,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,ae5714e8-d29c-4131-9442-60d25f116839
YES,,Queue: C_FAKE_WHATSAPP,email,Ana Julia Pereira,da Conceição,01/10/25 02:10 PM,05/07/25 07:34 PM,710278,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,55c1a0d9-5c3b-43e5-89c5-25679b622c0a
YES,,Queue: C_FAKE_WHATSAPP,email,Milena Moura,Gonçalves,08/30/25 12:40 PM,01/13/25 02:24 AM,239861,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,4a76a0ea-0b6b-4944-9e49-08c8290a42d2
YES,,Queue: C_FAKE_WHATSAPP,call,Nicolas Araújo,da Rosa Ltda.,07/18/25 08:57 AM,07/17/25 08:36 AM,353807,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,5813d72f-b67c-42ac-94dc-4c97c8914d99
